Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 15:36:09] ⏰ PROGRESS: 2011s elapsed, 0 rays found
[2025-07-25 15:36:39] ⏰ PROGRESS: 2041s elapsed, 0 rays found
[2025-07-25 15:37:09] ⏰ PROGRESS: 2071s elapsed, 0 rays found
[2025-07-25 15:37:39] ⏰ PROGRESS: 2101s elapsed, 0 rays found
[2025-07-25 15:38:09] ⏰ PROGRESS: 2131s elapsed, 0 rays found
[2025-07-25 15:38:39] ⏰ PROGRESS: 2161s elapsed, 0 rays found
[2025-07-25 15:39:09] ⏰ PROGRESS: 2191s elapsed, 0 rays found
[2025-07-25 15:39:39] ⏰ PROGRESS: 2221s elapsed, 0 rays found
[2025-07-25 15:40:09] ⏰ PROGRESS: 2251s elapsed, 0 rays found
[2025-07-25 15:40:39] ⏰ PROGRESS: 2281s elapsed, 0 rays found
[2025-07-25 15:41:09] ⏰ PROGRESS: 2311s elapsed, 0 rays found
[2025-07-25 15:41:40] ⏰ PROGRESS: 2341s elapsed, 0 rays found
[2025-07-25 15:42:10] ⏰ PROGRESS: 2371s elapsed, 0 rays found
[2025-07-25 15:42:40] ⏰ PROGRESS: 2401s elapsed, 0 rays found
[2025-07-25 15:43:10] ⏰ PROGRESS: 2431s elapsed, 0 rays found
[2025-07-25 15:43:40] ⏰ PROGRESS: 2461s elapsed, 0 rays found
[2025-07-25 15:44:10] ⏰ PROGRESS: 2491s elapsed, 0 rays found
[2025-07-25 15:44:40] ⏰ PROGRESS: 2521s elapsed, 0 rays found
[2025-07-25 15:45:10] ⏰ PROGRESS: 2551s elapsed, 0 rays found
[2025-07-25 15:45:40] ⏰ PROGRESS: 2581s elapsed, 0 rays found
[2025-07-25 15:46:10] ⏰ PROGRESS: 2611s elapsed, 0 rays found
[2025-07-25 15:46:40] ⏰ PROGRESS: 2641s elapsed, 0 rays found
[2025-07-25 15:47:10] ⏰ PROGRESS: 2671s elapsed, 0 rays found
[2025-07-25 15:47:40] ⏰ PROGRESS: 2701s elapsed, 0 rays found
[2025-07-25 15:48:10] ⏰ PROGRESS: 2731s elapsed, 0 rays found
[2025-07-25 15:48:40] ⏰ PROGRESS: 2761s elapsed, 0 rays found
[2025-07-25 15:49:10] ⏰ PROGRESS: 2791s elapsed, 0 rays found
[2025-07-25 15:49:40] ⏰ PROGRESS: 2821s elapsed, 0 rays found
[2025-07-25 15:50:10] ⏰ PROGRESS: 2851s elapsed, 0 rays found
[2025-07-25 15:50:40] ⏰ PROGRESS: 2881s elapsed, 0 rays found
[2025-07-25 15:51:10] ⏰ PROGRESS: 2911s elapsed, 0 rays found
[2025-07-25 15:51:40] ⏰ PROGRESS: 2941s elapsed, 0 rays found
[2025-07-25 15:52:10] ⏰ PROGRESS: 2971s elapsed, 0 rays found
[2025-07-25 15:52:40] ⏰ PROGRESS: 3001s elapsed, 0 rays found
[2025-07-25 15:53:10] ⏰ PROGRESS: 3031s elapsed, 0 rays found
[2025-07-25 15:53:40] ⏰ PROGRESS: 3061s elapsed, 0 rays found
[2025-07-25 15:54:10] ⏰ PROGRESS: 3091s elapsed, 0 rays found
[2025-07-25 15:54:40] ⏰ PROGRESS: 3121s elapsed, 0 rays found
[2025-07-25 15:55:10] ⏰ PROGRESS: 3151s elapsed, 0 rays found
